CF Handle,Total,A,B
Sad_Bus,72,46,26
vendx.greyback,59,11,48
avaneeshk098,98,72,26
arujbansal,111,11,100
PoPularPlusPlus,200,100,100
ac2hu,134,100,34
ak2006,93,46,47
parth_kabra,0,0,0
UserV2008,3,3,0
crap_the_coder,11,11,0
chinmayajha,72,72,0
aviral311,25,11,14
sidpark1,122,100,22
srivatsav_kannan,11,11,0
DheeruYS,50,50,0
sumit_kk10,148,100,48
red24,11,11,0
Devomega07,0,0,0
p41nt,46,32,14
Yeboi,25,25,0
sicho_mohit,11,11,0
ecitcarp,0,0,0
TheNerd06,46,46,0
vedants1905,25,11,14
acktron,39,11,28
adarshkrr965,11,11,0
mananman23,17,11,6
n00bie_1004,11,11,0
MiraclePlusPlus ,3,3,0
niloyroot,11,11,0
Hargun02,3,3,0
Akshat__Singhania,3,3,0
